student_id,course,course_type,year,month,total_days,days_present,attendance_pct
GTC0001,BA,UG,2,Jul,26,16,61.05
GTC0001,BA,UG,2,Aug,25,16,64.59
GTC0001,BA,UG,2,Sep,24,15,63.55
GTC0001,BA,UG,2,Oct,23,19,81.49
GTC0001,BA,UG,2,Nov,20,16,80.01
GTC0001,BA,UG,2,Dec,18,13,70.99
GTC0001,BA,UG,2,Jan,22,17,78.38
GTC0001,BA,UG,2,Feb,24,15,61.56
GTC0001,BA,UG,2,Mar,26,24,93.73
GTC0001,BA,UG,2,Apr,25,21,83.72
GTC0002,BA,UG,2,Jul,26,23,90.11
GTC0002,BA,UG,2,Aug,25,19,76.19
GTC0002,BA,UG,2,Sep,24,21,85.97
GTC0002,BA,UG,2,Oct,23,18,78.24
GTC0002,BA,UG,2,Nov,20,17,87.02
GTC0002,BA,UG,2,Dec,18,12,67.12
GTC0002,BA,UG,2,Jan,22,19,84.36
GTC0002,BA,UG,2,Feb,24,20,85.01
GTC0002,BA,UG,2,Mar,26,18,68.82
GTC0002,BA,UG,2,Apr,25,16,62.01
GTC0003,BA,UG,2,Jul,26,18,67.87
GTC0003,BA,UG,2,Aug,25,18,70.3
GTC0003,BA,UG,2,Sep,24,21,88.29
GTC0003,BA,UG,2,Oct,23,19,80.58
GTC0003,BA,UG,2,Nov,20,14,68.16
GTC0003,BA,UG,2,Dec,18,16,86.68
GTC0003,BA,UG,2,Jan,22,19,87.17
GTC0003,BA,UG,2,Feb,24,12,50.15
GTC0003,BA,UG,2,Mar,26,20,76.1
GTC0003,BA,UG,2,Apr,25,20,78.81
GTC0004,BA,UG,2,Jul,26,17,66.11
GTC0004,BA,UG,2,Aug,25,22,87.03
GTC0004,BA,UG,2,Sep,24,24,100.0
GTC0004,BA,UG,2,Oct,23,13,55.54
GTC0004,BA,UG,2,Nov,20,13,64.09
GTC0004,BA,UG,2,Dec,18,15,82.49
GTC0004,BA,UG,2,Jan,22,18,82.73
GTC0004,BA,UG,2,Feb,24,18,75.59
GTC0004,BA,UG,2,Mar,26,15,58.21
GTC0004,BA,UG,2,Apr,25,19,77.04
GTC0005,BA,UG,2,Jul,26,21,80.72
GTC0005,BA,UG,2,Aug,25,22,89.4
GTC0005,BA,UG,2,Sep,24,15,63.73
GTC0005,BA,UG,2,Oct,23,19,82.67
GTC0005,BA,UG,2,Nov,20,18,89.23
GTC0005,BA,UG,2,Dec,18,17,92.56
GTC0005,BA,UG,2,Jan,22,17,78.79
GTC0005,BA,UG,2,Feb,24,21,87.42
GTC0005,BA,UG,2,Mar,26,25,95.31
GTC0005,BA,UG,2,Apr,25,24,94.69
GTC0006,BA,UG,1,Jul,26,23,89.02
GTC0006,BA,UG,1,Aug,25,17,67.87
GTC0006,BA,UG,1,Sep,24,16,67.09
GTC0006,BA,UG,1,Oct,23,13,56.92
GTC0006,BA,UG,1,Nov,20,15,77.37
GTC0006,BA,UG,1,Dec,18,13,70.42
GTC0006,BA,UG,1,Jan,22,17,78.8
GTC0006,BA,UG,1,Feb,24,20,85.18
GTC0006,BA,UG,1,Mar,26,12,45.27
GTC0006,BA,UG,1,Apr,25,18,70.04
GTC0007,BA,UG,1,Jul,26,21,80.43
GTC0007,BA,UG,1,Aug,25,23,90.69
GTC0007,BA,UG,1,Sep,24,22,91.28
GTC0007,BA,UG,1,Oct,23,17,72.3
GTC0007,BA,UG,1,Nov,20,14,71.82
GTC0007,BA,UG,1,Dec,18,14,75.8
GTC0007,BA,UG,1,Jan,22,14,65.1
GTC0007,BA,UG,1,Feb,24,17,72.31
GTC0007,BA,UG,1,Mar,26,17,64.31
GTC0007,BA,UG,1,Apr,25,20,79.65
GTC0008,BA,UG,3,Jul,26,16,62.22
GTC0008,BA,UG,3,Aug,25,16,62.31
GTC0008,BA,UG,3,Sep,24,16,66.79
GTC0008,BA,UG,3,Oct,23,19,81.25
GTC0008,BA,UG,3,Nov,20,14,71.88
GTC0008,BA,UG,3,Dec,18,18,98.33
GTC0008,BA,UG,3,Jan,22,17,78.58
GTC0008,BA,UG,3,Feb,24,15,62.58
GTC0008,BA,UG,3,Mar,26,18,67.72
GTC0008,BA,UG,3,Apr,25,17,66.87
GTC0009,BA,UG,1,Jul,26,19,73.94
GTC0009,BA,UG,1,Aug,25,16,65.42
GTC0009,BA,UG,1,Sep,24,16,66.38
GTC0009,BA,UG,1,Oct,23,17,74.93
GTC0009,BA,UG,1,Nov,20,11,55.88
GTC0009,BA,UG,1,Dec,18,13,73.14
GTC0009,BA,UG,1,Jan,22,12,53.46
GTC0009,BA,UG,1,Feb,24,17,69.22
GTC0009,BA,UG,1,Mar,26,23,87.88
GTC0009,BA,UG,1,Apr,25,17,68.08
GTC0010,BA,UG,2,Jul,26,19,73.77
GTC0010,BA,UG,2,Aug,25,18,70.89
GTC0010,BA,UG,2,Sep,24,18,75.47
GTC0010,BA,UG,2,Oct,23,16,67.78
GTC0010,BA,UG,2,Nov,20,13,63.94
GTC0010,BA,UG,2,Dec,18,14,79.47
GTC0010,BA,UG,2,Jan,22,16,71.14
GTC0010,BA,UG,2,Feb,24,21,89.16
GTC0010,BA,UG,2,Mar,26,22,84.19
GTC0010,BA,UG,2,Apr,25,16,64.92
GTC0011,BA,UG,1,Jul,26,16,61.19
GTC0011,BA,UG,1,Aug,25,23,92.73
GTC0011,BA,UG,1,Sep,24,23,96.36
GTC0011,BA,UG,1,Oct,23,16,69.6
GTC0011,BA,UG,1,Nov,20,16,79.41
GTC0011,BA,UG,1,Dec,18,12,67.53
GTC0011,BA,UG,1,Jan,22,20,91.44
GTC0011,BA,UG,1,Feb,24,17,71.36
GTC0011,BA,UG,1,Mar,26,20,77.54
GTC0011,BA,UG,1,Apr,25,12,46.43
GTC0012,BA,UG,2,Jul,26,16,63.41
GTC0012,BA,UG,2,Aug,25,25,99.03
GTC0012,BA,UG,2,Sep,24,19,77.79
GTC0012,BA,UG,2,Oct,23,17,75.5
GTC0012,BA,UG,2,Nov,20,16,77.6
GTC0012,BA,UG,2,Dec,18,13,72.13
GTC0012,BA,UG,2,Jan,22,12,56.01
GTC0012,BA,UG,2,Feb,24,16,65.2
GTC0012,BA,UG,2,Mar,26,26,100.0
GTC0012,BA,UG,2,Apr,25,15,60.3
GTC0013,BA,UG,1,Jul,26,16,62.82
GTC0013,BA,UG,1,Aug,25,19,76.88
GTC0013,BA,UG,1,Sep,24,16,67.9
GTC0013,BA,UG,1,Oct,23,15,63.48
GTC0013,BA,UG,1,Nov,20,14,70.95
GTC0013,BA,UG,1,Dec,18,13,74.53
GTC0013,BA,UG,1,Jan,22,18,82.56
GTC0013,BA,UG,1,Feb,24,23,97.74
GTC0013,BA,UG,1,Mar,26,23,89.23
GTC0013,BA,UG,1,Apr,25,23,90.78
GTC0014,BA,UG,2,Jul,26,21,80.75
GTC0014,BA,UG,2,Aug,25,16,65.72
GTC0014,BA,UG,2,Sep,24,22,93.09
GTC0014,BA,UG,2,Oct,23,15,65.01
GTC0014,BA,UG,2,Nov,20,14,69.36
GTC0014,BA,UG,2,Dec,18,12,69.04
GTC0014,BA,UG,2,Jan,22,18,82.87
GTC0014,BA,UG,2,Feb,24,23,97.79
GTC0014,BA,UG,2,Mar,26,24,90.77
GTC0014,BA,UG,2,Apr,25,23,90.88
GTC0015,BA,UG,2,Jul,26,13,51.26
GTC0015,BA,UG,2,Aug,25,18,71.28
GTC0015,BA,UG,2,Sep,24,16,65.68
GTC0015,BA,UG,2,Oct,23,18,77.06
GTC0015,BA,UG,2,Nov,20,17,86.45
GTC0015,BA,UG,2,Dec,18,13,72.04
GTC0015,BA,UG,2,Jan,22,15,70.24
GTC0015,BA,UG,2,Feb,24,22,92.61
GTC0015,BA,UG,2,Mar,26,17,66.39
GTC0015,BA,UG,2,Apr,25,18,73.31
GTC0016,BA,UG,2,Jul,26,16,59.75
GTC0016,BA,UG,2,Aug,25,22,87.27
GTC0016,BA,UG,2,Sep,24,17,72.69
GTC0016,BA,UG,2,Oct,23,16,69.56
GTC0016,BA,UG,2,Nov,20,19,94.46
GTC0016,BA,UG,2,Dec,18,13,74.04
GTC0016,BA,UG,2,Jan,22,15,69.8
GTC0016,BA,UG,2,Feb,24,21,86.69
GTC0016,BA,UG,2,Mar,26,22,86.21
GTC0016,BA,UG,2,Apr,25,15,60.52
GTC0017,BA,UG,2,Jul,26,17,66.41
GTC0017,BA,UG,2,Aug,25,25,100.0
GTC0017,BA,UG,2,Sep,24,19,79.36
GTC0017,BA,UG,2,Oct,23,17,74.36
GTC0017,BA,UG,2,Nov,20,16,79.76
GTC0017,BA,UG,2,Dec,18,11,61.32
GTC0017,BA,UG,2,Jan,22,15,69.55
GTC0017,BA,UG,2,Feb,24,15,64.39
GTC0017,BA,UG,2,Mar,26,16,62.02
GTC0017,BA,UG,2,Apr,25,16,62.04
GTC0018,BA,UG,1,Jul,26,26,100.0
GTC0018,BA,UG,1,Aug,25,22,89.13
GTC0018,BA,UG,1,Sep,24,19,80.28
GTC0018,BA,UG,1,Oct,23,18,78.09
GTC0018,BA,UG,1,Nov,20,15,75.86
GTC0018,BA,UG,1,Dec,18,12,67.88
GTC0018,BA,UG,1,Jan,22,9,40.43
GTC0018,BA,UG,1,Feb,24,24,98.06
GTC0018,BA,UG,1,Mar,26,20,77.34
GTC0018,BA,UG,1,Apr,25,16,62.15
GTC0019,BA,UG,1,Jul,26,15,58.12
GTC0019,BA,UG,1,Aug,25,22,88.78
GTC0019,BA,UG,1,Sep,24,17,72.23
GTC0019,BA,UG,1,Oct,23,13,55.5
GTC0019,BA,UG,1,Nov,20,13,63.66
GTC0019,BA,UG,1,Dec,18,13,72.19
GTC0019,BA,UG,1,Jan,22,16,71.33
GTC0019,BA,UG,1,Feb,24,19,78.08
GTC0019,BA,UG,1,Mar,26,24,90.94
GTC0019,BA,UG,1,Apr,25,16,63.16
GTC0020,BA,UG,3,Jul,26,14,55.73
GTC0020,BA,UG,3,Aug,25,17,68.94
GTC0020,BA,UG,3,Sep,24,20,81.26
GTC0020,BA,UG,3,Oct,23,20,86.69
GTC0020,BA,UG,3,Nov,20,12,61.58
GTC0020,BA,UG,3,Dec,18,12,65.08
GTC0020,BA,UG,3,Jan,22,14,64.53
GTC0020,BA,UG,3,Feb,24,18,76.92
GTC0020,BA,UG,3,Mar,26,25,95.09
GTC0020,BA,UG,3,Apr,25,13,52.92
GTC0021,BA,UG,1,Jul,26,23,86.84
GTC0021,BA,UG,1,Aug,25,16,65.44
GTC0021,BA,UG,1,Sep,24,22,92.26
GTC0021,BA,UG,1,Oct,23,22,93.5
GTC0021,BA,UG,1,Nov,20,19,92.5
GTC0021,BA,UG,1,Dec,18,15,82.59
GTC0021,BA,UG,1,Jan,22,14,65.05
GTC0021,BA,UG,1,Feb,24,18,76.09
GTC0021,BA,UG,1,Mar,26,26,99.12
GTC0021,BA,UG,1,Apr,25,23,92.7
GTC0022,BA,UG,3,Jul,26,25,95.55
GTC0022,BA,UG,3,Aug,25,24,94.04
GTC0022,BA,UG,3,Sep,24,19,79.1
GTC0022,BA,UG,3,Oct,23,15,63.25
GTC0022,BA,UG,3,Nov,20,16,81.13
GTC0022,BA,UG,3,Dec,18,15,81.35
GTC0022,BA,UG,3,Jan,22,18,81.25
GTC0022,BA,UG,3,Feb,24,23,97.18
GTC0022,BA,UG,3,Mar,26,19,72.34
GTC0022,BA,UG,3,Apr,25,17,69.86
GTC0023,BA,UG,3,Jul,26,15,59.18
GTC0023,BA,UG,3,Aug,25,19,75.12
GTC0023,BA,UG,3,Sep,24,21,87.85
GTC0023,BA,UG,3,Oct,23,18,77.86
GTC0023,BA,UG,3,Nov,20,18,90.93
GTC0023,BA,UG,3,Dec,18,12,66.37
GTC0023,BA,UG,3,Jan,22,13,59.82
GTC0023,BA,UG,3,Feb,24,13,56.22
GTC0023,BA,UG,3,Mar,26,19,73.9
GTC0023,BA,UG,3,Apr,25,15,59.13
GTC0024,BA,UG,3,Jul,26,19,74.5
GTC0024,BA,UG,3,Aug,25,24,94.29
GTC0024,BA,UG,3,Sep,24,24,100.0
GTC0024,BA,UG,3,Oct,23,16,71.53
GTC0024,BA,UG,3,Nov,20,16,79.66
GTC0024,BA,UG,3,Dec,18,16,88.09
GTC0024,BA,UG,3,Jan,22,16,71.84
GTC0024,BA,UG,3,Feb,24,19,80.99
GTC0024,BA,UG,3,Mar,26,16,61.18
GTC0024,BA,UG,3,Apr,25,16,65.04
GTC0025,BA,UG,1,Jul,26,21,80.31
GTC0025,BA,UG,1,Aug,25,23,90.68
GTC0025,BA,UG,1,Sep,24,18,76.18
GTC0025,BA,UG,1,Oct,23,18,77.11
GTC0025,BA,UG,1,Nov,20,13,65.85
GTC0025,BA,UG,1,Dec,18,15,85.18
GTC0025,BA,UG,1,Jan,22,17,77.09
GTC0025,BA,UG,1,Feb,24,17,72.63
GTC0025,BA,UG,1,Mar,26,16,60.05
GTC0025,BA,UG,1,Apr,25,17,69.77
GTC0026,BA,UG,2,Jul,26,23,86.93
GTC0026,BA,UG,2,Aug,25,22,87.93
GTC0026,BA,UG,2,Sep,24,14,56.5
GTC0026,BA,UG,2,Oct,23,20,85.85
GTC0026,BA,UG,2,Nov,20,20,100.0
GTC0026,BA,UG,2,Dec,18,14,75.43
GTC0026,BA,UG,2,Jan,22,19,88.42
GTC0026,BA,UG,2,Feb,24,19,79.74
GTC0026,BA,UG,2,Mar,26,20,75.36
GTC0026,BA,UG,2,Apr,25,15,58.16
GTC0027,BA,UG,2,Jul,26,24,90.73
GTC0027,BA,UG,2,Aug,25,20,81.96
GTC0027,BA,UG,2,Sep,24,18,76.55
GTC0027,BA,UG,2,Oct,23,16,68.4
GTC0027,BA,UG,2,Nov,20,12,58.64
GTC0027,BA,UG,2,Dec,18,11,62.06
GTC0027,BA,UG,2,Jan,22,15,69.47
GTC0027,BA,UG,2,Feb,24,19,78.88
GTC0027,BA,UG,2,Mar,26,23,89.84
GTC0027,BA,UG,2,Apr,25,17,66.11
GTC0028,BA,UG,2,Jul,26,13,50.45
GTC0028,BA,UG,2,Aug,25,19,76.78
GTC0028,BA,UG,2,Sep,24,17,71.83
GTC0028,BA,UG,2,Oct,23,16,69.74
GTC0028,BA,UG,2,Nov,20,14,72.36
GTC0028,BA,UG,2,Dec,18,12,67.7
GTC0028,BA,UG,2,Jan,22,17,76.19
GTC0028,BA,UG,2,Feb,24,17,69.12
GTC0028,BA,UG,2,Mar,26,19,72.43
GTC0028,BA,UG,2,Apr,25,19,76.38
GTC0029,BA,UG,1,Jul,26,21,79.69
GTC0029,BA,UG,1,Aug,25,22,89.19
GTC0029,BA,UG,1,Sep,24,17,69.15
GTC0029,BA,UG,1,Oct,23,16,70.03
GTC0029,BA,UG,1,Nov,20,15,75.31
GTC0029,BA,UG,1,Dec,18,11,63.43
GTC0029,BA,UG,1,Jan,22,17,76.07
GTC0029,BA,UG,1,Feb,24,22,92.98
GTC0029,BA,UG,1,Mar,26,22,84.93
GTC0029,BA,UG,1,Apr,25,19,74.06
GTC0030,BA,UG,2,Jul,26,21,82.26
GTC0030,BA,UG,2,Aug,25,19,75.99
GTC0030,BA,UG,2,Sep,24,20,81.83
GTC0030,BA,UG,2,Oct,23,18,79.6
GTC0030,BA,UG,2,Nov,20,18,88.61
GTC0030,BA,UG,2,Dec,18,14,79.41
GTC0030,BA,UG,2,Jan,22,19,84.74
GTC0030,BA,UG,2,Feb,24,18,75.91
GTC0030,BA,UG,2,Mar,26,23,87.31
GTC0030,BA,UG,2,Apr,25,24,94.54
GTC0031,BA,UG,1,Jul,26,25,97.77
GTC0031,BA,UG,1,Aug,25,22,86.08
GTC0031,BA,UG,1,Sep,24,17,69.68
GTC0031,BA,UG,1,Oct,23,17,73.42
GTC0031,BA,UG,1,Nov,20,18,88.06
GTC0031,BA,UG,1,Dec,18,9,49.98
GTC0031,BA,UG,1,Jan,22,15,67.38
GTC0031,BA,UG,1,Feb,24,17,70.2
GTC0031,BA,UG,1,Mar,26,21,80.43
GTC0031,BA,UG,1,Apr,25,25,100.0
GTC0032,BA,UG,1,Jul,26,19,74.27
GTC0032,BA,UG,1,Aug,25,23,92.65
GTC0032,BA,UG,1,Sep,24,18,75.41
GTC0032,BA,UG,1,Oct,23,15,66.87
GTC0032,BA,UG,1,Nov,20,13,64.34
GTC0032,BA,UG,1,Dec,18,10,58.17
GTC0032,BA,UG,1,Jan,22,15,68.87
GTC0032,BA,UG,1,Feb,24,15,61.89
GTC0032,BA,UG,1,Mar,26,21,81.7
GTC0032,BA,UG,1,Apr,25,18,71.62
GTC0033,BA,UG,2,Jul,26,21,82.33
GTC0033,BA,UG,2,Aug,25,20,81.21
GTC0033,BA,UG,2,Sep,24,20,81.65
GTC0033,BA,UG,2,Oct,23,20,85.5
GTC0033,BA,UG,2,Nov,20,14,68.67
GTC0033,BA,UG,2,Dec,18,12,66.11
GTC0033,BA,UG,2,Jan,22,18,81.69
GTC0033,BA,UG,2,Feb,24,15,63.07
GTC0033,BA,UG,2,Mar,26,22,85.7
GTC0033,BA,UG,2,Apr,25,22,89.9
GTC0034,BA,UG,2,Jul,26,22,84.08
GTC0034,BA,UG,2,Aug,25,17,66.7
GTC0034,BA,UG,2,Sep,24,19,77.67
GTC0034,BA,UG,2,Oct,23,17,71.97
GTC0034,BA,UG,2,Nov,20,16,81.29
GTC0034,BA,UG,2,Dec,18,15,82.52
GTC0034,BA,UG,2,Jan,22,17,77.24
GTC0034,BA,UG,2,Feb,24,18,76.28
GTC0034,BA,UG,2,Mar,26,19,71.44
GTC0034,BA,UG,2,Apr,25,18,70.02
GTC0035,BA,UG,3,Jul,26,19,74.61
GTC0035,BA,UG,3,Aug,25,20,79.53
GTC0035,BA,UG,3,Sep,24,24,100.0
GTC0035,BA,UG,3,Oct,23,20,85.93
GTC0035,BA,UG,3,Nov,20,17,85.21
GTC0035,BA,UG,3,Dec,18,13,72.26
GTC0035,BA,UG,3,Jan,22,18,82.33
GTC0035,BA,UG,3,Feb,24,17,72.62
GTC0035,BA,UG,3,Mar,26,24,90.46
GTC0035,BA,UG,3,Apr,25,19,77.43
GTC0036,BA,UG,2,Jul,26,20,75.75
GTC0036,BA,UG,2,Aug,25,14,56.59
GTC0036,BA,UG,2,Sep,24,19,77.09
GTC0036,BA,UG,2,Oct,23,15,66.06
GTC0036,BA,UG,2,Nov,20,16,78.84
GTC0036,BA,UG,2,Dec,18,14,78.82
GTC0036,BA,UG,2,Jan,22,13,56.9
GTC0036,BA,UG,2,Feb,24,15,62.46
GTC0036,BA,UG,2,Mar,26,17,64.59
GTC0036,BA,UG,2,Apr,25,23,93.21
GTC0037,BA,UG,2,Jul,26,21,81.89
GTC0037,BA,UG,2,Aug,25,19,75.11
GTC0037,BA,UG,2,Sep,24,18,74.5
GTC0037,BA,UG,2,Oct,23,13,57.18
GTC0037,BA,UG,2,Nov,20,13,63.71
GTC0037,BA,UG,2,Dec,18,12,65.89
GTC0037,BA,UG,2,Jan,22,17,77.84
GTC0037,BA,UG,2,Feb,24,24,100.0
GTC0037,BA,UG,2,Mar,26,18,69.84
GTC0037,BA,UG,2,Apr,25,17,69.82
GTC0038,BA,UG,2,Jul,26,19,74.19
GTC0038,BA,UG,2,Aug,25,17,66.07
GTC0038,BA,UG,2,Sep,24,16,65.53
GTC0038,BA,UG,2,Oct,23,19,83.83
GTC0038,BA,UG,2,Nov,20,17,83.64
GTC0038,BA,UG,2,Dec,18,11,61.3
GTC0038,BA,UG,2,Jan,22,14,64.5
GTC0038,BA,UG,2,Feb,24,17,70.2
GTC0038,BA,UG,2,Mar,26,26,98.5
GTC0038,BA,UG,2,Apr,25,12,49.0
GTC0039,BA,UG,3,Jul,26,16,62.41
GTC0039,BA,UG,3,Aug,25,23,91.43
GTC0039,BA,UG,3,Sep,24,17,68.89
GTC0039,BA,UG,3,Oct,23,17,75.14
GTC0039,BA,UG,3,Nov,20,16,78.86
GTC0039,BA,UG,3,Dec,18,12,65.26
GTC0039,BA,UG,3,Jan,22,15,69.87
GTC0039,BA,UG,3,Feb,24,18,73.9
GTC0039,BA,UG,3,Mar,26,21,81.4
GTC0039,BA,UG,3,Apr,25,21,84.68
GTC0040,BA,UG,3,Jul,26,26,99.11
GTC0040,BA,UG,3,Aug,25,16,62.09
GTC0040,BA,UG,3,Sep,24,20,84.4
GTC0040,BA,UG,3,Oct,23,17,74.78
GTC0040,BA,UG,3,Nov,20,13,66.93
GTC0040,BA,UG,3,Dec,18,13,70.81
GTC0040,BA,UG,3,Jan,22,21,95.02
GTC0040,BA,UG,3,Feb,24,18,75.18
GTC0040,BA,UG,3,Mar,26,17,67.01
GTC0040,BA,UG,3,Apr,25,19,76.39
GTC0041,BA,UG,1,Jul,26,20,75.73
GTC0041,BA,UG,1,Aug,25,16,62.81
GTC0041,BA,UG,1,Sep,24,20,85.28
GTC0041,BA,UG,1,Oct,23,15,64.64
GTC0041,BA,UG,1,Nov,20,19,95.29
GTC0041,BA,UG,1,Dec,18,14,78.44
GTC0041,BA,UG,1,Jan,22,17,75.12
GTC0041,BA,UG,1,Feb,24,17,70.47
GTC0041,BA,UG,1,Mar,26,19,72.79
GTC0041,BA,UG,1,Apr,25,17,67.74
GTC0042,BA,UG,1,Jul,26,23,86.71
GTC0042,BA,UG,1,Aug,25,15,61.8
GTC0042,BA,UG,1,Sep,24,17,72.12
GTC0042,BA,UG,1,Oct,23,18,77.54
GTC0042,BA,UG,1,Nov,20,13,66.79
GTC0042,BA,UG,1,Dec,18,11,59.97
GTC0042,BA,UG,1,Jan,22,15,69.63
GTC0042,BA,UG,1,Feb,24,19,77.73
GTC0042,BA,UG,1,Mar,26,19,73.27
GTC0042,BA,UG,1,Apr,25,17,68.72
GTC0043,BA,UG,2,Jul,26,13,51.18
GTC0043,BA,UG,2,Aug,25,16,63.51
GTC0043,BA,UG,2,Sep,24,11,46.96
GTC0043,BA,UG,2,Oct,23,18,80.05
