student_id,total_days,days_present,overall_attendance_pct,attendance_category
GTC0001,233,172,73.82,Low (<75%)
GTC0002,233,183,78.54,Good (75%+)
GTC0003,233,177,75.97,Good (75%+)
GTC0004,233,174,74.68,Low (<75%)
GTC0005,233,199,85.41,Good (75%+)
GTC0006,233,164,70.39,Low (<75%)
GTC0007,233,179,76.82,Good (75%+)
GTC0008,233,166,71.24,Low (<75%)
GTC0009,233,161,69.1,Low (<75%)
GTC0010,233,173,74.25,Low (<75%)
GTC0011,233,175,75.11,Good (75%+)
GTC0012,233,175,75.11,Good (75%+)
GTC0013,233,180,77.25,Good (75%+)
GTC0014,233,188,80.69,Good (75%+)
GTC0015,233,167,71.67,Low (<75%)
GTC0016,233,176,75.54,Good (75%+)
GTC0017,233,167,71.67,Low (<75%)
GTC0018,233,181,77.68,Good (75%+)
GTC0019,233,168,72.1,Low (<75%)
GTC0020,233,165,70.82,Low (<75%)
GTC0021,233,198,84.98,Good (75%+)
GTC0022,233,191,81.97,Good (75%+)
GTC0023,233,163,69.96,Low (<75%)
GTC0024,233,182,78.11,Good (75%+)
GTC0025,233,175,75.11,Good (75%+)
GTC0026,233,186,79.83,Good (75%+)
GTC0027,233,175,75.11,Good (75%+)
GTC0028,233,163,69.96,Low (<75%)
GTC0029,233,182,78.11,Good (75%+)
GTC0030,233,194,83.26,Good (75%+)
GTC0031,233,186,79.83,Good (75%+)
GTC0032,233,167,71.67,Low (<75%)
GTC0033,233,184,78.97,Good (75%+)
GTC0034,233,178,76.39,Good (75%+)
GTC0035,233,191,81.97,Good (75%+)
GTC0036,233,166,71.24,Low (<75%)
GTC0037,233,172,73.82,Low (<75%)
GTC0038,233,168,72.1,Low (<75%)
GTC0039,233,176,75.54,Good (75%+)
GTC0040,233,180,77.25,Good (75%+)
GTC0041,233,174,74.68,Low (<75%)
GTC0042,233,167,71.67,Low (<75%)
GTC0043,233,162,69.53,Low (<75%)
GTC0044,233,175,75.11,Good (75%+)
GTC0045,233,172,73.82,Low (<75%)
GTC0046,233,186,79.83,Good (75%+)
GTC0047,233,182,78.11,Good (75%+)
GTC0048,233,175,75.11,Good (75%+)
GTC0049,233,160,68.67,Low (<75%)
GTC0050,233,157,67.38,Low (<75%)
GTC0051,233,164,70.39,Low (<75%)
GTC0052,233,159,68.24,Low (<75%)
GTC0053,233,170,72.96,Low (<75%)
GTC0054,233,182,78.11,Good (75%+)
GTC0055,233,180,77.25,Good (75%+)
GTC0056,233,175,75.11,Good (75%+)
GTC0057,233,180,77.25,Good (75%+)
GTC0058,233,172,73.82,Low (<75%)
GTC0059,233,193,82.83,Good (75%+)
GTC0060,233,166,71.24,Low (<75%)
GTC0061,233,184,78.97,Good (75%+)
GTC0062,233,178,76.39,Good (75%+)
GTC0063,233,177,75.97,Good (75%+)
GTC0064,233,163,69.96,Low (<75%)
GTC0065,233,190,81.55,Good (75%+)
GTC0066,233,161,69.1,Low (<75%)
GTC0067,233,178,76.39,Good (75%+)
GTC0068,233,172,73.82,Low (<75%)
GTC0069,233,165,70.82,Low (<75%)
GTC0070,233,166,71.24,Low (<75%)
GTC0071,233,170,72.96,Low (<75%)
GTC0072,233,163,69.96,Low (<75%)
GTC0073,233,183,78.54,Good (75%+)
GTC0074,233,186,79.83,Good (75%+)
GTC0075,233,170,72.96,Low (<75%)
GTC0076,233,168,72.1,Low (<75%)
GTC0077,233,174,74.68,Low (<75%)
GTC0078,233,162,69.53,Low (<75%)
GTC0079,233,171,73.39,Low (<75%)
GTC0080,233,179,76.82,Good (75%+)
GTC0081,233,159,68.24,Low (<75%)
GTC0082,233,169,72.53,Low (<75%)
GTC0083,233,191,81.97,Good (75%+)
GTC0084,233,179,76.82,Good (75%+)
GTC0085,233,166,71.24,Low (<75%)
GTC0086,233,188,80.69,Good (75%+)
GTC0087,233,172,73.82,Low (<75%)
GTC0088,233,169,72.53,Low (<75%)
GTC0089,233,175,75.11,Good (75%+)
GTC0090,233,176,75.54,Good (75%+)
GTC0091,233,176,75.54,Good (75%+)
GTC0092,233,176,75.54,Good (75%+)
GTC0093,233,174,74.68,Low (<75%)
GTC0094,233,171,73.39,Low (<75%)
GTC0095,233,184,78.97,Good (75%+)
GTC0096,233,177,75.97,Good (75%+)
GTC0097,233,188,80.69,Good (75%+)
GTC0098,233,171,73.39,Low (<75%)
GTC0099,233,157,67.38,Low (<75%)
GTC0100,233,181,77.68,Good (75%+)
GTC0101,233,177,75.97,Good (75%+)
GTC0102,233,174,74.68,Low (<75%)
GTC0103,233,172,73.82,Low (<75%)
GTC0104,233,182,78.11,Good (75%+)
GTC0105,233,180,77.25,Good (75%+)
GTC0106,233,180,77.25,Good (75%+)
GTC0107,233,169,72.53,Low (<75%)
GTC0108,233,169,72.53,Low (<75%)
GTC0109,233,176,75.54,Good (75%+)
GTC0110,233,171,73.39,Low (<75%)
GTC0111,233,177,75.97,Good (75%+)
GTC0112,233,186,79.83,Good (75%+)
GTC0113,233,172,73.82,Low (<75%)
GTC0114,233,177,75.97,Good (75%+)
GTC0115,233,172,73.82,Low (<75%)
GTC0116,233,177,75.97,Good (75%+)
GTC0117,233,189,81.12,Good (75%+)
GTC0118,233,168,72.1,Low (<75%)
