student_id,course,course_type,year,subject,marks,max_marks,grade,result
GTC0001,BA,UG,2,Hindi,51.7,100,C,Pass
GTC0001,BA,UG,2,English,31.9,100,F,Fail
GTC0001,BA,UG,2,History,37.9,100,D,Pass
GTC0001,BA,UG,2,Political Science,47.5,100,C,Pass
GTC0001,BA,UG,2,Geography,30.9,100,F,Fail
GTC0002,BA,UG,2,Hindi,57.0,100,C,Pass
GTC0002,BA,UG,2,English,47.7,100,C,Pass
GTC0002,BA,UG,2,History,52.3,100,C,Pass
GTC0002,BA,UG,2,Political Science,56.4,100,C,Pass
GTC0002,BA,UG,2,Geography,45.3,100,C,Pass
GTC0003,BA,UG,2,Hindi,67.6,100,B,Pass
GTC0003,BA,UG,2,English,63.2,100,B,Pass
GTC0003,BA,UG,2,History,67.0,100,B,Pass
GTC0003,BA,UG,2,Political Science,64.6,100,B,Pass
GTC0003,BA,UG,2,Geography,67.4,100,B,Pass
GTC0004,BA,UG,2,Hindi,43.3,100,D,Pass
GTC0004,BA,UG,2,English,53.9,100,C,Pass
GTC0004,BA,UG,2,History,64.8,100,B,Pass
GTC0004,BA,UG,2,Political Science,61.2,100,B,Pass
GTC0004,BA,UG,2,Geography,61.1,100,B,Pass
GTC0005,BA,UG,2,Hindi,70.6,100,B,Pass
GTC0005,BA,UG,2,English,81.1,100,A,Pass
GTC0005,BA,UG,2,History,82.8,100,A,Pass
GTC0005,BA,UG,2,Political Science,70.2,100,B,Pass
GTC0005,BA,UG,2,Geography,65.8,100,B,Pass
GTC0006,BA,UG,1,Hindi,66.5,100,B,Pass
GTC0006,BA,UG,1,English,82.7,100,A,Pass
GTC0006,BA,UG,1,History,82.9,100,A,Pass
GTC0006,BA,UG,1,Political Science,81.9,100,A,Pass
GTC0006,BA,UG,1,Geography,69.0,100,B,Pass
GTC0007,BA,UG,1,Hindi,58.0,100,C,Pass
GTC0007,BA,UG,1,English,62.8,100,B,Pass
GTC0007,BA,UG,1,History,60.9,100,B,Pass
GTC0007,BA,UG,1,Political Science,80.0,100,A,Pass
GTC0007,BA,UG,1,Geography,59.6,100,C,Pass
GTC0008,BA,UG,3,Hindi,38.7,100,D,Pass
GTC0008,BA,UG,3,English,47.2,100,C,Pass
GTC0008,BA,UG,3,History,40.0,100,D,Pass
GTC0008,BA,UG,3,Political Science,43.6,100,D,Pass
GTC0008,BA,UG,3,Geography,52.4,100,C,Pass
GTC0009,BA,UG,1,Hindi,38.8,100,D,Pass
GTC0009,BA,UG,1,English,29.9,100,F,Fail
GTC0009,BA,UG,1,History,35.6,100,D,Pass
GTC0009,BA,UG,1,Political Science,37.2,100,D,Pass
GTC0009,BA,UG,1,Geography,27.8,100,F,Fail
GTC0010,BA,UG,2,Hindi,55.5,100,C,Pass
GTC0010,BA,UG,2,English,40.9,100,D,Pass
GTC0010,BA,UG,2,History,45.8,100,C,Pass
GTC0010,BA,UG,2,Political Science,54.2,100,C,Pass
GTC0010,BA,UG,2,Geography,30.9,100,F,Fail
GTC0011,BA,UG,1,Hindi,72.3,100,B,Pass
GTC0011,BA,UG,1,English,65.7,100,B,Pass
GTC0011,BA,UG,1,History,88.2,100,A,Pass
GTC0011,BA,UG,1,Political Science,64.1,100,B,Pass
GTC0011,BA,UG,1,Geography,64.4,100,B,Pass
GTC0012,BA,UG,2,Hindi,55.0,100,C,Pass
GTC0012,BA,UG,2,English,47.9,100,C,Pass
GTC0012,BA,UG,2,History,48.5,100,C,Pass
GTC0012,BA,UG,2,Political Science,65.9,100,B,Pass
GTC0012,BA,UG,2,Geography,28.5,100,F,Fail
GTC0013,BA,UG,1,Hindi,69.3,100,B,Pass
GTC0013,BA,UG,1,English,75.3,100,A,Pass
GTC0013,BA,UG,1,History,63.6,100,B,Pass
GTC0013,BA,UG,1,Political Science,70.1,100,B,Pass
GTC0013,BA,UG,1,Geography,45.9,100,C,Pass
GTC0014,BA,UG,2,Hindi,51.5,100,C,Pass
GTC0014,BA,UG,2,English,56.7,100,C,Pass
GTC0014,BA,UG,2,History,73.2,100,B,Pass
GTC0014,BA,UG,2,Political Science,69.9,100,B,Pass
GTC0014,BA,UG,2,Geography,70.3,100,B,Pass
GTC0015,BA,UG,2,Hindi,40.9,100,D,Pass
GTC0015,BA,UG,2,English,60.5,100,B,Pass
GTC0015,BA,UG,2,History,57.0,100,C,Pass
GTC0015,BA,UG,2,Political Science,64.9,100,B,Pass
GTC0015,BA,UG,2,Geography,45.2,100,C,Pass
GTC0016,BA,UG,2,Hindi,53.8,100,C,Pass
GTC0016,BA,UG,2,English,64.7,100,B,Pass
GTC0016,BA,UG,2,History,59.4,100,C,Pass
GTC0016,BA,UG,2,Political Science,62.5,100,B,Pass
GTC0016,BA,UG,2,Geography,56.3,100,C,Pass
GTC0017,BA,UG,2,Hindi,40.2,100,D,Pass
GTC0017,BA,UG,2,English,20.8,100,F,Fail
GTC0017,BA,UG,2,History,26.6,100,F,Fail
GTC0017,BA,UG,2,Political Science,33.6,100,D,Pass
GTC0017,BA,UG,2,Geography,26.5,100,F,Fail
GTC0018,BA,UG,1,Hindi,56.4,100,C,Pass
GTC0018,BA,UG,1,English,62.2,100,B,Pass
GTC0018,BA,UG,1,History,52.6,100,C,Pass
GTC0018,BA,UG,1,Political Science,43.6,100,D,Pass
GTC0018,BA,UG,1,Geography,47.7,100,C,Pass
GTC0019,BA,UG,1,Hindi,52.2,100,C,Pass
GTC0019,BA,UG,1,English,42.0,100,D,Pass
GTC0019,BA,UG,1,History,43.3,100,D,Pass
GTC0019,BA,UG,1,Political Science,49.9,100,C,Pass
GTC0019,BA,UG,1,Geography,44.8,100,D,Pass
GTC0020,BA,UG,3,Hindi,65.3,100,B,Pass
GTC0020,BA,UG,3,English,58.6,100,C,Pass
GTC0020,BA,UG,3,History,60.4,100,B,Pass
GTC0020,BA,UG,3,Political Science,54.3,100,C,Pass
GTC0020,BA,UG,3,Geography,55.0,100,C,Pass
GTC0021,BA,UG,1,Hindi,43.4,100,D,Pass
GTC0021,BA,UG,1,English,57.7,100,C,Pass
GTC0021,BA,UG,1,History,59.6,100,C,Pass
GTC0021,BA,UG,1,Political Science,61.5,100,B,Pass
GTC0021,BA,UG,1,Geography,57.2,100,C,Pass
GTC0022,BA,UG,3,Hindi,51.2,100,C,Pass
GTC0022,BA,UG,3,English,65.1,100,B,Pass
GTC0022,BA,UG,3,History,62.8,100,B,Pass
GTC0022,BA,UG,3,Political Science,55.3,100,C,Pass
GTC0022,BA,UG,3,Geography,64.3,100,B,Pass
GTC0023,BA,UG,3,Hindi,49.6,100,C,Pass
GTC0023,BA,UG,3,English,46.8,100,C,Pass
GTC0023,BA,UG,3,History,38.7,100,D,Pass
GTC0023,BA,UG,3,Political Science,52.2,100,C,Pass
GTC0023,BA,UG,3,Geography,37.9,100,D,Pass
GTC0024,BA,UG,3,Hindi,47.1,100,C,Pass
GTC0024,BA,UG,3,English,56.1,100,C,Pass
GTC0024,BA,UG,3,History,44.0,100,D,Pass
GTC0024,BA,UG,3,Political Science,58.9,100,C,Pass
GTC0024,BA,UG,3,Geography,53.2,100,C,Pass
GTC0025,BA,UG,1,Hindi,56.1,100,C,Pass
GTC0025,BA,UG,1,English,36.6,100,D,Pass
GTC0025,BA,UG,1,History,28.1,100,F,Fail
GTC0025,BA,UG,1,Political Science,44.8,100,D,Pass
GTC0025,BA,UG,1,Geography,39.5,100,D,Pass
GTC0026,BA,UG,2,Hindi,62.4,100,B,Pass
