student_id,name,course,course_type,year,gender,age,fee_total,fee_paid,fee_pending,fee_status
GTC0001,Student_1,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0002,Student_2,BA,UG,2,Female,19,8000,3046,4954,Pending
GTC0003,Student_3,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0004,Student_4,BA,UG,2,Male,19,8000,8000,0,Paid
GTC0005,Student_5,BA,UG,2,Male,22,8000,6156,1844,Pending
GTC0006,Student_6,BA,UG,1,Female,22,8000,6361,1639,Pending
GTC0007,Student_7,BA,UG,1,Female,22,8000,3778,4222,Pending
GTC0008,Student_8,BA,UG,3,Female,21,8000,8000,0,Paid
GTC0009,Student_9,BA,UG,1,Male,21,8000,8000,0,Paid
GTC0010,Student_10,BA,UG,2,Female,19,8000,1876,6124,Pending
GTC0011,Student_11,BA,UG,1,Female,20,8000,2729,5271,Pending
GTC0012,Student_12,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0013,Student_13,BA,UG,1,Male,22,8000,6610,1390,Pending
GTC0014,Student_14,BA,UG,2,Male,20,8000,2224,5776,Pending
GTC0015,Student_15,BA,UG,2,Female,21,8000,8000,0,Paid
GTC0016,Student_16,BA,UG,2,Male,22,8000,2405,5595,Pending
GTC0017,Student_17,BA,UG,2,Female,22,8000,8000,0,Paid
GTC0018,Student_18,BA,UG,1,Female,21,8000,8000,0,Paid
GTC0019,Student_19,BA,UG,1,Male,19,8000,8000,0,Paid
GTC0020,Student_20,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0021,Student_21,BA,UG,1,Female,19,8000,8000,0,Paid
GTC0022,Student_22,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0023,Student_23,BA,UG,3,Male,21,8000,8000,0,Paid
GTC0024,Student_24,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0025,Student_25,BA,UG,1,Male,20,8000,2763,5237,Pending
GTC0026,Student_26,BA,UG,2,Male,21,8000,3104,4896,Pending
GTC0027,Student_27,BA,UG,2,Female,19,8000,3612,4388,Pending
GTC0028,Student_28,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0029,Student_29,BA,UG,1,Female,19,8000,2427,5573,Pending
GTC0030,Student_30,BA,UG,2,Female,19,8000,1881,6119,Pending
GTC0031,Student_31,BA,UG,1,Female,22,8000,8000,0,Paid
GTC0032,Student_32,BA,UG,1,Male,22,8000,8000,0,Paid
GTC0033,Student_33,BA,UG,2,Female,20,8000,5545,2455,Pending
GTC0034,Student_34,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0035,Student_35,BA,UG,3,Female,19,8000,8000,0,Paid
GTC0036,Student_36,BA,UG,2,Female,18,8000,4853,3147,Pending
GTC0037,Student_37,BA,UG,2,Male,20,8000,8000,0,Paid
GTC0038,Student_38,BA,UG,2,Male,22,8000,8000,0,Paid
GTC0039,Student_39,BA,UG,3,Female,21,8000,5409,2591,Pending
GTC0040,Student_40,BA,UG,3,Male,19,8000,8000,0,Paid
GTC0041,Student_41,BA,UG,1,Male,21,8000,5726,2274,Pending
GTC0042,Student_42,BA,UG,1,Male,22,8000,3837,4163,Pending
GTC0043,Student_43,BA,UG,2,Male,21,8000,8000,0,Paid
GTC0044,Student_44,BA,UG,2,Female,18,8000,8000,0,Paid
GTC0045,Student_45,BA,UG,2,Female,20,8000,8000,0,Paid
GTC0046,Student_46,BA,UG,3,Male,22,8000,8000,0,Paid
GTC0047,Student_47,BA,UG,2,Female,21,8000,2629,5371,Pending
GTC0048,Student_48,BA,UG,1,Female,20,8000,8000,0,Paid
GTC0049,Student_49,BA,UG,3,Female,18,8000,8000,0,Paid
GTC0050,Student_50,BA,UG,1,Female,18,8000,8000,0,Paid
GTC0051,Student_51,BA,UG,1,Female,19,8000,8000,0,Paid
